Report ID,Report Channel,Customer Name,State Key,Ticket Open Time,Ticket Resp Time,Issue Res Time,Fault Type,Operator,Ticket Close Time,Ticket Status,Business Status,Response_time_diff,Resolution_time_diff,Hour_of_day,resolution_hour,Resolution_class,total_response_seconds,response_time_status,within_or_outside_6_9pm
AXA-20201229-1135-WLESS,CH01,Cassava,NGS010,2020-12-29 20:40:07.000,2020-12-29 20:45:30.000,2020-12-30 00:50:53.000,Customers End,Sheg,2020-12-30 13:06:54,Completed,Closed,0 days 00:05:23,0 days 04:05:23,20,4.089722222222223,Critical,323.0,Bad,Within 6-9pm
AXA-20201230-1136-WLESS,CH01,Cassava,NGS011,2020-12-30 18:22:30.000,2020-12-30 18:24:54.000,2020-12-30 21:54:26.000,hardware failure,Amelia,2020-12-30 23:04:29,Completed,Closed,0 days 00:02:24,0 days 03:29:32,18,3.4922222222222223,Critical,144.0,Bad,Within 6-9pm
AXA-20201230-1137-WLESS,CH02,Cassava,NGS005,2020-12-30 20:38:50.000,2020-12-30 20:48:33.000,2020-12-31 01:12:02.000,Customers End,Goodluck,2020-12-31 07:54:41,Completed,Closed,0 days 00:09:43,0 days 04:23:29,20,4.39138888888889,Critical,583.0,Bad,Within 6-9pm
AXA-20201230-1138-WLESS,CH02,Cassava,NGS011,2020-12-30 20:02:27.000,2020-12-30 20:05:50.000,2020-12-30 22:35:25.000,hardware failure,Jonathan,2020-12-30 23:50:45,Completed,Closed,0 days 00:03:23,0 days 02:29:35,20,2.4930555555555554,Fair,203.0,Bad,Within 6-9pm
AXA-20201231-1139-WLESS,CH01,Cassava,NGS012,2020-12-31 06:10:04.000,2020-12-31 06:15:49.000,2020-12-31 07:24:51.000,Power Loss,Bola,2020-12-31 21:50:09,Completed,Closed,0 days 00:05:45,0 days 01:09:02,6,1.1505555555555556,Fair,345.0,Bad,outside 6-9pm
AXA-20201230-1140-WLESS,CH01,Cassava,NGS012,2020-12-30 09:37:06.000,2020-12-30 09:42:29.000,2020-12-30 11:23:09.000,Support network failures,Bola,2020-12-30 11:59:21,Completed,Closed,0 days 00:05:23,0 days 01:40:40,9,1.6777777777777778,Fair,323.0,Bad,outside 6-9pm
AXA-20201229-1141-WLESS,CH02,Cassava,NGS002,2020-12-29 15:19:00.000,2020-12-29 15:19:07.000,2020-12-29 18:04:11.000,Line damage,Amelia,2020-12-29 16:52:57,Completed,Closed,0 days 00:00:07,0 days 02:45:04,15,2.7511111111111113,Fair,7.0,Good,outside 6-9pm
AXA-20201229-1142-WLESS,CH02,Cassava,NGS011,2020-12-29 13:05:20.000,2020-12-29 13:12:32.000,2020-12-29 14:35:06.000,Line damage,Jonathan,2020-12-29 14:26:11,Completed,Closed,0 days 00:07:12,0 days 01:22:34,13,1.376111111111111,Fair,432.0,Bad,outside 6-9pm
AXA-20201230-1143-WLESS,CH03,Cassava,NGS013,2020-12-30 08:12:26.000,2020-12-30 08:15:49.000,2020-12-30 12:55:23.000,hardware failure,Jonathan,2020-12-30 23:57:59,Completed,Closed,0 days 00:03:23,0 days 04:39:34,8,4.6594444444444445,Critical,203.0,Bad,outside 6-9pm
AXA-20201230-1144-WLESS,CH04,Cassava,NGS014,2020-12-30 16:30:45.000,2020-12-30 16:37:26.000,2020-12-30 21:05:30.000,Line damage,Atiku,2020-12-30 23:49:40,Completed,Closed,0 days 00:06:41,0 days 04:28:04,16,4.467777777777778,Critical,401.0,Bad,outside 6-9pm
AXA-20201229-1145-WLESS,CH05,Cassava,NGS013,2020-12-29 11:31:14.000,2020-12-29 11:40:52.000,2020-12-29 16:02:05.000,Line damage,Kingsley,2020-12-29 14:37:34,Completed,Closed,0 days 00:09:38,0 days 04:21:13,11,4.353611111111111,Critical,578.0,Bad,outside 6-9pm
AXA-20201231-1146-WLESS,CH01,Cassava,NGS009,2020-12-31 23:04:18.000,2020-12-31 23:11:26.000,2020-12-31 23:35:01.000,Line damage,Jonathan,2021-01-01 06:22:52,Completed,Closed,0 days 00:07:08,0 days 00:23:35,23,0.39305555555555555,Excellent,428.0,Bad,outside 6-9pm
AXA-20201231-1147-WLESS,CH01,Cassava,NGS009,2020-12-31 18:52:13.000,2020-12-31 18:57:42.000,2020-12-31 20:20:03.000,hardware failure,Amelia,2020-12-31 22:31:29,Completed,Closed,0 days 00:05:29,0 days 01:22:21,18,1.3725,Fair,329.0,Bad,Within 6-9pm
AXA-20201231-1148-WLESS,CH01,Cassava,NGS015,2020-12-31 20:49:22.000,2020-12-31 20:55:52.000,2021-01-01 01:59:30.000,Customers End,Sola,2021-01-02 06:14:01,Completed,Closed,0 days 00:06:30,0 days 05:03:38,20,5.060555555555555,Critical,390.0,Bad,Within 6-9pm
AXA-20201230-1149-WLESS,CH01,Cassava,NGS015,2020-12-30 21:49:06.000,2020-12-30 21:55:37.000,2020-12-31 02:39:18.000,Customers End,Atiku,2020-12-31 21:17:45,Completed,Closed,0 days 00:06:31,0 days 04:43:41,21,4.728055555555556,Critical,391.0,Bad,Within 6-9pm
AXA-20201229-1150-WLESS,CH01,Cassava,NGS015,2020-12-29 23:55:04.000,2020-12-29 23:58:12.000,2020-12-30 01:20:24.000,Customers End,Vitus,2020-12-30 12:13:10,Completed,Closed,0 days 00:03:08,0 days 01:22:12,23,1.37,Fair,188.0,Bad,outside 6-9pm
AXA-20201229-1151-WLESS,CH05,Cassava,NGS002,2020-12-29 15:23:07.000,2020-12-29 15:27:12.000,2020-12-29 17:33:39.000,Line damage,Myers,2020-12-29 16:52:25,Completed,Closed,0 days 00:04:05,0 days 02:06:27,15,2.1075000000000004,Fair,245.00000000000003,Bad,outside 6-9pm
AXA-20201229-1152-HSE,CH05,CenBank,NGS002,2020-12-29 15:28:08.000,2020-12-29 15:38:30.000,2020-12-29 16:52:43.000,Traffic Spikes,Jonathan,2020-12-29 21:32:00,Completed,Closed,0 days 00:10:22,0 days 01:14:13,15,1.2369444444444444,Fair,622.0,Bad,outside 6-9pm
AXA-20201230-1153-HSE,CH01,Chan,NGS002,2020-12-30 05:13:06.000,2020-12-30 05:15:19.000,2020-12-30 08:23:35.000,Customers End,Sherifat,2020-12-30 17:24:00,Completed,Closed,0 days 00:02:13,0 days 03:08:16,5,3.137777777777778,Critical,133.0,Bad,outside 6-9pm
AXA-20201230-1154-HSE,CH01,CL,NGS009,2020-12-30 02:13:08.000,2020-12-30 02:17:45.000,2020-12-30 06:30:22.000,Customers End,Tunde,2021-01-02 06:08:32,Completed,Closed,0 days 00:04:37,0 days 04:12:37,2,4.210277777777779,Critical,277.0,Bad,outside 6-9pm
AXA-20201230-1155-HSE,CH01,CL,NGS009,2020-12-30 01:31:14.000,2020-12-30 01:31:44.000,2020-12-30 05:42:23.000,Line damage,Segun,2020-12-30 05:08:49,Completed,Closed,0 days 00:00:30,0 days 04:10:39,1,4.1775,Critical,30.000000000000004,Bad,outside 6-9pm
AXA-20201231-1156-HSE,CH01,Cho,NGS016,2020-12-31 17:19:04.000,2020-12-31 17:27:17.000,2020-12-31 21:07:45.000,Line damage,Jennifer,2021-01-01 07:03:33,Completed,Closed,0 days 00:08:13,0 days 03:40:28,17,3.6744444444444446,Critical,493.00000000000006,Bad,outside 6-9pm
AXA-20201231-1157-HSE,CH01,Cho,NGS016,2020-12-31 17:04:40.000,2020-12-31 17:14:56.000,2020-12-31 18:47:02.000,Line damage,Kingsley,2021-01-01 07:33:36,Completed,Closed,0 days 00:10:16,0 days 01:32:06,17,1.535,Fair,616.0,Bad,outside 6-9pm
AXA-20201229-1158-HSE,CH01,Dana,NGS007,2020-12-29 17:52:04.000,2020-12-29 18:02:47.000,2020-12-29 18:47:50.000,Customers End,Segun,2020-12-30 00:56:51,Completed,Closed,0 days 00:10:43,0 days 00:45:03,17,0.7508333333333334,Good,643.0,Bad,outside 6-9pm
AXA-20201229-1159-HSE,CH01,Dana,NGS007,2020-12-29 15:22:06.000,2020-12-29 15:23:37.000,2020-12-29 15:25:46.000,Customers End,Jonathan,2020-12-29 21:32:31,Completed,Closed,0 days 00:01:31,0 days 00:02:09,15,0.035833333333333335,Excellent,91.0,Bad,outside 6-9pm
AXA-20201229-1160-HSE,CH01,Dana,NGS007,2020-12-29 15:46:11.000,2020-12-29 15:49:59.000,2020-12-29 20:16:40.000,hardware failure,Sekina,2021-01-02 06:24:31,Completed,Closed,0 days 00:03:48,0 days 04:26:41,15,4.4447222222222225,Critical,228.0,Bad,outside 6-9pm
AXA-20201229-1161-WLESS,CH01,Dang,NGS012,2020-12-29 20:58:06.000,2020-12-29 21:06:15.000,2020-12-29 22:13:32.000,,Tunde, ,Active,Open,0 days 00:08:09,0 days 01:07:17,20,1.121388888888889,Fair,489.00000000000006,Bad,Within 6-9pm
AXA-20201229-1162-HSE,CH01,Dang,NGS012,2020-12-29 21:01:03.000,2020-12-29 21:01:44.000,2020-12-30 01:41:21.000,,Habeeb, ,Terminated,Terminated,0 days 00:00:41,0 days 04:39:37,21,4.660277777777778,Critical,41.0,Bad,Within 6-9pm
AXA-20201230-1163-VOICE,CH01,Dan,NGS017,2020-12-30 08:46:03.000,2020-12-30 08:49:40.000,2020-12-30 10:23:57.000,hardware failure,John,2020-12-30 11:59:46,Completed,Closed,0 days 00:03:37,0 days 01:34:17,8,1.571388888888889,Fair,217.0,Bad,outside 6-9pm
AXA-20201229-1164-VOICE,CH01,Dan,NGS017,2020-12-29 12:58:04.000,2020-12-29 13:07:35.000,2020-12-29 15:32:02.000,Customers End,Bola,2020-12-30 11:06:02,Completed,Closed,0 days 00:09:31,0 days 02:24:27,12,2.4075,Fair,571.0,Bad,outside 6-9pm
AXA-20201231-1165-VOICE,CH01,Dan,NGS005,2020-12-31 19:37:04.000,2020-12-31 19:47:10.000,2020-12-31 20:29:40.000,Customers End,Sola,2021-01-02 06:37:00,Completed,Closed,0 days 00:10:06,0 days 00:42:30,19,0.7083333333333334,Good,606.0,Bad,Within 6-9pm
AXA-20201231-1166-VOICE,CH01,Dan,NGS005,2020-12-31 11:37:03.000,2020-12-31 11:38:23.000,2020-12-31 12:08:28.000,Customers End,Fola,2021-01-02 06:47:32,Completed,Closed,0 days 00:01:20,0 days 00:30:05,11,0.5013888888888889,Good,80.0,Bad,outside 6-9pm
AXA-20201231-1167-VOICE,CH01,Dan,NGS005,2020-12-31 07:34:07.000,2020-12-31 07:41:40.000,2020-12-31 07:47:00.000,Customers End,Jennifer,2021-01-01 07:32:16,Completed,Closed,0 days 00:07:33,0 days 00:05:20,7,0.08888888888888889,Excellent,453.0,Bad,outside 6-9pm
AXA-20201231-1168-VOICE,CH01,Dan,NGS005,2020-12-31 03:22:04.000,2020-12-31 03:22:48.000,2020-12-31 08:48:32.000,Customers End,Kingsley,2021-01-01 07:25:58,Completed,Closed,0 days 00:00:44,0 days 05:25:44,3,5.428888888888889,Critical,44.0,Bad,outside 6-9pm
AXA-20201230-1169-VOICE,CH01,Dan,NGS005,2020-12-30 19:28:06.000,2020-12-30 19:37:24.000,2020-12-30 20:11:35.000,Customers End,Brenda,2020-12-31 07:06:21,Completed,Closed,0 days 00:09:18,0 days 00:34:11,19,0.5697222222222222,Good,558.0,Bad,Within 6-9pm
AXA-20201230-1170-VOICE,CH01,Dan,NGS005,2020-12-30 07:19:06.000,2020-12-30 07:20:49.000,2020-12-30 12:45:35.000,Customers End,Bola,2020-12-30 12:41:34,Completed,Closed,0 days 00:01:43,0 days 05:24:46,7,5.4127777777777775,Critical,103.0,Bad,outside 6-9pm
AXA-20201230-1171-VOICE,CH01,Dan,NGS005,2020-12-30 03:19:03.000,2020-12-30 03:19:51.000,2020-12-30 04:20:56.000,Customers End,Vitus,2020-12-30 06:48:27,Completed,Closed,0 days 00:00:48,0 days 01:01:05,3,1.0180555555555557,Fair,48.0,Bad,outside 6-9pm
AXA-20201229-1172-VOICE,CH01,Dan,NGS005,2020-12-29 17:52:09.000,2020-12-29 18:01:40.000,2020-12-29 20:16:43.000,Customers End,Sheg,2020-12-30 00:57:46,Completed,Closed,0 days 00:09:31,0 days 02:15:03,17,2.2508333333333335,Fair,571.0,Bad,outside 6-9pm
AXA-20201229-1173-VOICE,CH01,Dan,NGS005,2020-12-29 13:13:06.000,2020-12-29 13:13:38.000,2020-12-29 16:26:59.000,Customers End,Jonathan,2020-12-29 21:36:57,Completed,Closed,0 days 00:00:32,0 days 03:13:21,13,3.2225,Critical,32.0,Bad,outside 6-9pm
AXA-20201231-1174-VOICE,CH01,Dan,NGS007,2020-12-31 19:52:06.000,2020-12-31 19:56:13.000,2021-01-01 01:07:28.000,Routine Service,Mary,2021-01-02 06:35:51,Completed,Closed,0 days 00:04:07,0 days 05:11:15,19,5.1875,Critical,247.00000000000003,Bad,Within 6-9pm
AXA-20201231-1175-VOICE,CH01,Dan,NGS007,2020-12-31 16:34:04.000,2020-12-31 16:35:41.000,2020-12-31 17:12:23.000,Customers End,Mary,2021-01-02 06:43:59,Completed,Closed,0 days 00:01:37,0 days 00:36:42,16,0.6116666666666667,Good,97.0,Bad,outside 6-9pm
AXA-20201231-1176-VOICE,CH01,Dan,NGS007,2020-12-31 10:34:04.000,2020-12-31 10:38:11.000,2020-12-31 16:21:33.000,Customers End,Sekina,2021-01-01 07:17:05,Completed,Closed,0 days 00:04:07,0 days 05:43:22,10,5.722777777777778,Critical,247.00000000000003,Bad,outside 6-9pm
AXA-20201230-1177-VOICE,CH01,Dan,NGS007,2020-12-30 12:22:03.000,2020-12-30 12:31:29.000,2020-12-30 12:40:36.000,Customers End,John,2020-12-30 14:53:33,Completed,Closed,0 days 00:09:26,0 days 00:09:07,12,0.15194444444444444,Excellent,566.0,Bad,outside 6-9pm
AXA-20201229-1178-VOICE,CH01,Dan,NGS007,2020-12-29 18:37:03.000,2020-12-29 18:47:36.000,2020-12-29 21:27:05.000,Customers End,Sherifat,2020-12-31 14:37:23,Completed,Closed,0 days 00:10:33,0 days 02:39:29,18,2.6580555555555554,Fair,633.0,Bad,Within 6-9pm
AXA-20201229-1179-VOICE,CH01,Dan,NGS007,2020-12-29 15:07:03.000,2020-12-29 15:14:46.000,2020-12-29 16:57:12.000,Customers End,Vitus,2020-12-30 05:15:10,Completed,Closed,0 days 00:07:43,0 days 01:42:26,15,1.7072222222222222,Fair,463.00000000000006,Bad,outside 6-9pm
AXA-20201231-1180-HSE,CH01,Diamond,NGS006,2020-12-31 14:34:04.000,2020-12-31 14:36:09.000,2020-12-31 19:02:31.000,Customers End,Mary,2021-01-02 06:45:37,Completed,Closed,0 days 00:02:05,0 days 04:26:22,14,4.439444444444445,Critical,125.00000000000001,Bad,outside 6-9pm
AXA-20201231-1181-HSE,CH01,Lemway,NGS010,2020-12-31 22:19:06.000,2020-12-31 22:26:51.000,2021-01-01 02:31:07.000,,Bola, ,Active,Open,0 days 00:07:45,0 days 04:04:16,22,4.071111111111112,Critical,465.00000000000006,Bad,outside 6-9pm
AXA-20201231-1182-HSE,CH01,Lemway,NGS010,2020-12-31 14:43:03.000,2020-12-31 14:43:28.000,2020-12-31 16:44:46.000,Customers End,Sherifat,2021-01-01 07:32:53,Completed,Closed,0 days 00:00:25,0 days 02:01:18,14,2.0216666666666665,Fair,25.0,Bad,outside 6-9pm
AXA-20201229-1183-HSE,CH01,Lemway,NGS010,2020-12-29 17:13:08.000,2020-12-29 17:19:13.000,2020-12-29 21:00:54.000,Customers End,Sekina,2020-12-30 14:56:55,Completed,Closed,0 days 00:06:05,0 days 03:41:41,17,3.694722222222222,Critical,365.0,Bad,outside 6-9pm
AXA-20201231-1184-HSE,CH01,Lemway,NGS010,2020-12-31 16:58:03.000,2020-12-31 17:03:30.000,2020-12-31 19:45:46.000,,John, ,Active,Open,0 days 00:05:27,0 days 02:42:16,16,2.7044444444444444,Fair,327.0,Bad,outside 6-9pm
AXA-20201231-1185-HSE,CH01,Lemway,NGS010,2020-12-31 11:40:07.000,2020-12-31 11:50:55.000,2020-12-31 13:05:27.000,Customers End,Tunde,2021-01-01 07:16:35,Completed,Closed,0 days 00:10:48,0 days 01:14:32,11,1.2422222222222221,Fair,648.0,Bad,outside 6-9pm
AXA-20201231-1186-HSE,CH01,Lemway,NGS010,2020-12-31 06:40:09.000,2020-12-31 06:49:46.000,2020-12-31 06:55:14.000,Routine Service,Habeeb,2021-01-01 07:25:32,Completed,Closed,0 days 00:09:37,0 days 00:05:28,6,0.09111111111111111,Excellent,577.0,Bad,outside 6-9pm
AXA-20201230-1187-HSE,CH01,Lemway,NGS010,2020-12-30 16:28:04.000,2020-12-30 16:28:10.000,2020-12-30 18:40:22.000,Customers End,Jennifer,2021-01-02 06:31:04,Completed,Closed,0 days 00:00:06,0 days 02:12:12,16,2.2033333333333336,Fair,6.0,Good,outside 6-9pm
AXA-20201230-1188-HSE,CH01,Lemway,NGS010,2020-12-30 05:34:07.000,2020-12-30 05:35:55.000,2020-12-30 08:48:12.000,Routine Service,Jonathan,2020-12-30 17:22:20,Completed,Closed,0 days 00:01:48,0 days 03:12:17,5,3.2047222222222222,Critical,108.0,Bad,outside 6-9pm
